상세페이지URL,로고URL,상호명,별점,최소주문금액,소요시간,리뷰수
https://www.yogiyo.co.kr/mobile/#/389786/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191119_389786_수원왕갈비통닭n닭강정-마포점_대표사진_200x200.jpg,수원왕갈비통닭&닭강정-마포점,★ 4.8,"14,900원 이상 배달",50~60분,157
https://www.yogiyo.co.kr/mobile/#/69524/,https://www.yogiyo.co.kr/media/restaurant_logos/후라이드치킨01_20131128_FoodAD_crop_200x200_9d5Y4oQ.jpg,치킨의전설-도원동,★ 3.9,"12,000원 이상 배달",50~60분,128
https://www.yogiyo.co.kr/mobile/#/248562/,https://www.yogiyo.co.kr/media/franchise_logos/롯데리아_20160408_Franchise이미지약정서_crop_200x200.jpg,롯데리아-홈플러스합정점,★ 4.5,"11,000원 이상 배달",30~40분,124
https://www.yogiyo.co.kr/mobile/#/309104/,https://www.yogiyo.co.kr/media/franchise_logos/순수치킨_20171024_Franchise이미지약정서_crop_200x200.jpg,순수치킨-홍대점,★ 4.9,"16,000원 이상 배달",50~60분,108
https://www.yogiyo.co.kr/mobile/#/321918/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20190614_321918_네오치킨-염리점_대표사진_200X200.jpg,네오치킨-염리점,★ 4.8,"13,000원 이상 배달",40~50분,104
https://www.yogiyo.co.kr/mobile/#/343452/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20190708_343452_떡만치_대표사진_200x200.jpg,떡만치,★ 4.7,"15,000원 이상 배달",50~60분,98
https://www.yogiyo.co.kr/mobile/#/320855/,https://www.yogiyo.co.kr/media/restaurant_logos/떡볶이01_20131128_FoodAD_crop_200x200_xcM00xC.jpg,신춘깻잎떡볶이-홍대점,★ 4.4,"14,000원 이상 배달",80~90분,97
https://www.yogiyo.co.kr/mobile/#/301443/,https://www.yogiyo.co.kr/media/restaurant_logos/더블플레이치킨-홍대점_20181130_가맹로고이미지약정서_crop_200x200.jpg,더블플레이치킨-홍대점,★ 4.7,"15,900원 이상 배달",30~40분,86
https://www.yogiyo.co.kr/mobile/#/352063/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20190801_352063_후라이드참맛있는집-상수점_대표사진_200X200.jpg,후라이드참맛있는집-상수점,★ 4.8,"13,000원 이상 배달",40~50분,79
https://www.yogiyo.co.kr/mobile/#/302883/,https://www.yogiyo.co.kr/media/restaurant_logos/후라이드치킨04_20131128_FoodAD_crop_200x200_pBo0Bnq.jpg,또리치킨,★ 4.8,"15,000원 이상 배달",50~60분,78
https://www.yogiyo.co.kr/mobile/#/300120/,https://www.yogiyo.co.kr/media/restaurant_logos/마이마이치킨-홍대현석점_20181119_가맹로고이미지약정서_crop_200x200.jpg,마이마이치킨-홍대현석점,★ 4.5,"14,000원 이상 배달",45~55분,76
https://www.yogiyo.co.kr/mobile/#/356896/,https://www.yogiyo.co.kr/media/restaurant_logos/마이마이치킨-홍대현석점_20181119_가맹로고이미지약정서_crop_200x200.jpg,마이마이치킨-홍대현석점,★ 4.5,"14,000원 이상 배달",45~55분,76
https://www.yogiyo.co.kr/mobile/#/413177/,https://www.yogiyo.co.kr/media/franchise_logos/네네치킨_20180831_Franchise이미지약정서_crop_200x200.jpg,네네치킨-이대역점,★ 4.9,"15,000원 이상 배달",50~60분,73
https://www.yogiyo.co.kr/mobile/#/339678/,https://www.yogiyo.co.kr/media/restaurant_logos/닭강정01_20131128_FoodAD_crop_200x200_FCR2F2k.jpg,예원닭강정,★ 4.8,"12,000원 이상 배달",50~60분,62
https://www.yogiyo.co.kr/mobile/#/342450/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20190712_342450_치킨사냥-망원점_대표사진_200x200.jpg,치킨사냥-망원점,★ 4.9,"12,900원 이상 배달",35~45분,60
https://www.yogiyo.co.kr/mobile/#/332992/,https://www.yogiyo.co.kr/media/franchise_logos/BBQ_20160928_Franchise이미지약정서_crop_200x200_AxtSe6b.jpg,BBQ-홍대로데오점,★ 4.7,"15,000원 이상 배달",40~50분,59
